City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
327,Ponta Delgada,PT,37.7333,-25.6667,66.92,82,20,4.61,few clouds
328,San Policarpo,PH,12.1791,125.5072,83.44,73,24,3.2,few clouds
329,Saint-Philippe,RE,-21.3585,55.7679,65.75,75,31,10.45,scattered clouds
330,Spencer,US,43.1414,-95.1444,73.8,80,68,10.42,broken clouds
331,Qandala,SO,11.472,49.8728,87.66,51,62,24.7,broken clouds
332,Sinnamary,GF,5.3833,-52.95,77.25,87,80,8.55,broken clouds
333,Nayoro,JP,44.3506,142.4578,81.7,62,86,3.94,overcast clouds
334,Chicama,PE,-7.8447,-79.1469,64.65,83,22,8.32,few clouds
335,Harper,LR,4.375,-7.7169,75.97,75,100,4.79,overcast clouds
336,San Jose,US,37.3394,-121.895,86.52,48,1,1.99,clear sky
337,Adrar,MR,20.5022,-10.0711,92.21,30,100,20.92,overcast clouds
338,Pacific Grove,US,36.6177,-121.9166,82.45,81,1,1.99,clear sky
339,Poum,NC,-20.2333,164.0167,72.99,70,97,18.79,overcast clouds
340,Araouane,ML,18.9048,-3.5265,93.6,30,0,16.02,clear sky
341,Sawakin,SD,19.1059,37.3321,89.06,51,100,2.57,overcast clouds
342,Bonavista,CA,48.6499,-53.1147,59.45,72,6,16.46,clear sky
343,Bom Sucesso,BR,-21.0331,-44.7581,57.87,61,4,2.82,clear sky
344,Sapouy,BF,11.5544,-1.7736,76.98,70,51,5.5,broken clouds
345,Sur,OM,22.5667,59.5289,84.92,74,98,7.0,overcast clouds
